과제명,사업부,항목,항목 상세,구분,적용 제품군,연도,상태,설명
외장품 신뢰성,의료기기,유통환경 동작 검사/외관 검사,test,시뮬레이션,,2026,진행,
TEST333ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,MX,test1,"a,b,c",시뮬레이션,,2028,,
ㅅㄷㄴㅅ,MX,ㅅㅅㅅㄴ,ㅇㅇ,시뮬레이션,A 시리즈,2028,계획,
기구 신뢰성,MX,유통환경 동작 검사/외관 검사,,시뮬레이션,"S 시리즈,A 시리즈",2025,완료,
test,MX,test1,,시뮬레이션,,2026,,
test2,MX,test1,,시뮬레이션,,2026,,
동작부 구조분석,의료기기,유통환경 동작 검사/외관 검사,,시뮬레이션,,2027,계획,
압축해석,의료기기,유통환경 압축/낙하/진동,,시뮬레이션,,2025,완료,
포장 진동,의료기기,유통환경 압축/낙하/진동,,시뮬레이션,,2028,계획,
낙하 해석,의료기기,유통환경 압축/낙하/진동,,시뮬레이션,,2025,완료,
기구 신뢰성,MX,ㅅㅅㅅㄴ,,시뮬레이션,,2025,완료,
테스트1,MX,Check1,,시뮬레이션,,,,
테스트2,VD,Check2,,시뮬레이션,,,,
테스트3,DA,Check3,,시뮬레이션,,,,
테스트4,NW,Check4,,시뮬레이션,,,,
테스트5,,Check5,,시뮬레이션,,,,
테스트6,MX,Check6,,시뮬레이션,,,,
테스트7,VD,Check7,,시뮬레이션,,,,
테스트8,DA,Check8,,시뮬레이션,,,,
테스트9,NW,Check9,,시뮬레이션,,,,
테스트10,,Check10,,시뮬레이션,,,,
테스트11,MX,Check11,,시뮬레이션,,,,
테스트12,VD,Check12,,시뮬레이션,,,,
테스트13,DA,Check13,,시뮬레이션,,,,
테스트14,NW,Check14,,시뮬레이션,,,,
테스트15,,Check15,,시뮬레이션,,,,
테스트16,MX,Check16,,시뮬레이션,,,,
테스트17,MX,Check17,,시뮬레이션,,,,
테스트18,VD,Check18,,시뮬레이션,,,,
테스트19,DA,Check19,,시뮬레이션,,,,
테스트20,NW,Check20,,시뮬레이션,,,,
테스트21,,Check21,,시뮬레이션,,,,
테스트22,MX,Check22,,시뮬레이션,,,,
테스트23,VD,Check23,,시뮬레이션,,,,
테스트24,DA,Check24,,시뮬레이션,,,,
테스트25,NW,Check25,,시뮬레이션,,,,
테스트26,,Check26,,시뮬레이션,,,,
테스트27,MX,Check27,,시뮬레이션,,,,
